GeneName	log2FoldChange	adjustedpvalue
HMOX1	5.824384838	2.51E-23
SYNPO2L	5.599527804	1.54E-30
ANKRD33	5.286979643	9.62E-19
LOC148696	4.784453432	1.51E-16
S100P	4.510105388	1.67E-17
TMCC2	4.486958501	5.81E-13
ARG1	4.256165449	9.64E-15
RUNDC3A	4.254990268	4.30E-18
TUFT1	4.189170012	3.99E-16
TMEM158	4.12404768	2.40E-09
PDZK1IP1	4.114640624	1.67E-19
ADGRD1	4.110677848	3.25E-09
TTC39A	4.039308149	8.35E-23
LINC01094	4.029802239	7.93E-09
C10orf10	3.991832095	5.92E-14
BCL6	3.97729429	1.55E-50
OSGIN1	3.963062866	8.65E-10
RRAD	3.952900645	2.15E-15
HIST1H1C	3.950103436	1.71E-26
LOC100131257	3.934006657	3.38E-16
SPINK4	3.928972233	3.55E-07
TNS1	3.910658315	4.24E-24
PTPRF	3.90111826	1.59E-09
GZMM	3.895814963	8.48E-11
TCP11L2	3.887341395	7.84E-13
GDF15	3.856805701	2.56E-42
JPH2	3.811154325	3.80E-06
MIAT	3.794931451	1.97E-20
CSDC2	3.760108215	3.66E-06
TREML3P	3.755782441	1.84E-09
HIST2H2BE	3.754557658	4.50E-20
HIST1H3H	3.73738007	1.55E-29
MAFF	3.708506988	5.88E-13
CYP3A5	3.684871944	4.80E-23
RNF103-CHMP3	3.675272082	2.15E-07
GABARAPL1	3.642511182	4.72E-15
ABCC13	3.641504806	5.33E-09
MICALCL	3.607787012	1.56E-09
BEST3	3.60395785	1.24E-14
LOC727896	3.573955648	8.47E-09
GPR15	3.558259632	0.000007487
S100A9	3.55016729	1.57E-06
MIR4732	3.512378789	6.83E-15
ELF3	3.483719812	2.19E-12
CREBRF	3.480637435	5.88E-16
HMP19	3.476872154	2.87E-05
RASGEF1B	3.47117898	1.54E-13
FBXO30	3.459777542	3.76E-10
OSR2	3.433422644	4.17E-05
RGAG1	3.400222521	7.99E-07
LOC101928163	3.385304259	1.34E-06
NECTIN4	3.38107898	3.92E-10
IFITM10	3.36966639	3.04E-07
CDKN2D	3.362911425	3.73E-31
CLN8	3.362553735	0.000071321
CYP4F3	3.358577863	4.56E-07
AKR7A2P1	3.354236083	1.73E-09
CPEB4	3.323756778	0.000000001
PIP5KL1	3.315924817	1.35E-11
LOC729867	3.309730539	6.06E-08
ACSL6	3.308471434	1.92E-09
ARRDC2	3.295799391	6.11E-10
C1orf132	3.284764238	1.25E-23
MIR144	3.276634553	6.34E-24
PIK3IP1	3.274505586	5.46E-17
TECTA	3.262645518	1.55E-07
SLC30A1	3.257159663	2.81E-10
LINC00570	3.252025807	5.18E-07
MAP3K15	3.246026667	0.000000446
HIST1H2AC	3.242410371	1.73E-20
ABCB5	3.241705349	1.86E-10
TSPAN7	3.239356924	2.34E-08
ZFP36	3.21986453	1.95E-17
UBE2H	3.209044848	2.48E-11
MIR194-2HG	3.205883812	7.10E-06
SLC6A19	3.19224837	2.28E-25
NATD1	3.181368087	5.60E-11
KRT1	3.171606522	3.16E-09
DDIT3	3.169117272	3.05E-10
PANX2	3.153336726	0.000077072
AQP1	3.143748741	5.17E-09
LOC102724297	3.141481016	7.08E-07
HBB	3.1356975	1.57E-15
RIOK3	3.098614293	2.32E-10
LINC01504	3.091652437	7.80E-05
HIST1H2BD	3.089201529	2.80E-14
XPO7	3.088901841	8.62E-09
HIST1H2BG	3.086441905	3.74E-09
NSUN3	3.085957505	7.98E-08
SLC2A1-AS1	3.0775501	3.15E-15
KLHL21	3.073632484	4.59E-10
LOC100128164	3.057856689	1.24E-10
FMNL2	3.047262867	1.84E-06
TCEANC	3.026569744	1.04E-11
SERTAD1	3.005724156	2.29E-06
LEP	3.001373786	9.51E-06
TBCEL	2.994533876	0.000000077
LINC-PINT	2.989264144	1.31E-13
CAPN12	2.984624795	1.76E-12
LOC100294362	2.975017752	1.10E-07
AGPAT4-IT1	2.972695857	0.000000091
YPEL3	2.972221571	3.20E-12
BCL2L1	2.970054716	7.53E-09
EPN2-AS1	2.962030658	0.000453321
TSPO2	2.959844357	7.23E-12
PGF	2.95909892	2.29E-22
SPDYC	2.949591544	1.74E-05
GPCPD1	2.9439543	2.75E-16
ABCA4	2.940951492	0.000305974
DNAI2	2.928836856	3.13E-05
LOC643339	2.923316403	1.77E-09
ZNF746	2.919213135	1.40E-07
RUNDC3A-AS1	2.916021319	3.76E-13
STK17B	2.901110656	6.59E-16
FHDC1	2.891389804	7.05E-09
TXK	2.887743753	3.25E-05
TAS1R1	2.882554862	0.0004614
LOC101928002	2.881591697	7.75E-05
HPD	2.879555376	8.09E-06
ULK1	2.866295565	9.49E-11
SMOX	2.864024276	1.11E-13
YPEL4	2.863445922	1.06E-10
R3HDM4	2.861241608	1.58E-08
ISG20	2.859112125	6.42E-13
SLC2A4	2.855243869	1.50E-12
BBC3	2.83889857	3.65E-20
MAFK	2.835816789	2.88E-08
TMPRSS5	2.834095388	3.38E-10
MAST3	2.832853656	3.00E-11
CILP	2.832269826	0.000880729
C3orf58	2.832216853	4.39E-10
LMOD1	2.829541903	2.41E-05
ASAP3	2.820382681	4.44E-06
SLC26A5	2.81927561	0.000280633
APOBEC3A	2.817871877	2.39E-06
CNPPD1	2.804797565	6.22E-09
IL6ST	2.80291846	3.02E-07
C9orf131	2.799661892	0.000205771
GJC2	2.795565248	7.73E-05
FOXO3	2.790192954	2.54E-08
SLFN14	2.789108928	9.12E-07
S100A8	2.788654608	0.000186775
ARL4A	2.78608235	8.32E-07
HIST1H3E	2.780378929	9.84E-05
BBOF1	2.780366711	2.01E-06
MRGPRE	2.777351939	9.90E-07
B3GNT8	2.777050822	9.25E-07
TRIM58	2.776386302	3.63E-08
ATG14	2.776311161	2.28E-07
KCNK1	2.773033426	2.55E-06
HIST1H1B	2.77204174	1.21E-06
HIST3H2BB	2.771916429	8.37E-08
UBR2	2.769597889	6.90E-11
ALMS1-IT1	2.769267053	3.03E-08
MIR3189	2.75782857	2.26E-07
FAM214B	2.751638253	8.68E-10
LINC00656	2.7479566	3.15E-08
HIST1H2BJ	2.747018835	4.66E-06
PPP2R5B	2.743824395	2.96E-27
IRAK2	2.735788995	8.09E-11
CD300LB	2.731135901	0.001991322
PCSK1N	2.730434413	0.000112913
SOX6	2.728597845	9.50E-10
NEAT1	2.724696971	9.48E-21
RNF11	2.721758229	5.14E-09
CBX7	2.717109697	4.33E-23
MGP	2.701636364	0.002061549
LRRC2	2.699148826	9.99E-07
GADD45B	2.689729959	0.000293686
LPIN2	2.686501482	0.00000149
TMC5	2.68278352	9.44E-11
ATF3	2.68082691	7.06E-06
ANKRD61	2.677515849	9.72E-18
YOD1	2.677349461	3.88E-13
ESRG	2.675814492	0.001505862
CR1L	2.674685364	1.38E-19
AGPAT4	2.674037648	6.32E-09
CLEC2B	2.671708129	0.000146885
OSER1	2.670647796	1.10E-09
8-Mar	2.669083837	1.35E-08
TNFSF18	2.665926755	0.001442321
IL1R1	2.66541551	0.000365728
TAB3	2.661892032	1.76E-09
HBA2	2.658931685	2.77E-13
AAK1	2.651993498	2.28E-07
TMEM140	2.650558712	3.51E-08
ZFAND5	2.649809436	1.60E-07
TMEM88	2.647791214	0.000382286
GADD45A	2.643043626	5.53E-07
REM2	2.638476819	3.00E-06
KIAA0232	2.637989998	8.06E-10
RSAD2	2.637203773	2.87E-05
MUC17	2.634818073	0.002793932
CNIH3	2.634572083	7.10E-06
ZNF23	2.633796137	3.20E-10
MIR22HG	2.630799194	0.002688123
CR1	2.623068409	3.38E-07
SLC14A1	2.622604051	1.45E-06
ABI3	2.610723148	7.34E-05
FOXO4	2.608283648	2.12E-09
PPP1R3B	2.606794464	7.48E-11
RPPH1	2.606201031	0.000166012
HBA1	2.605993176	7.48E-11
RBM38	2.605472324	6.80E-09
MYLIP	2.602163938	1.35E-18
NUDT4	2.600975899	4.17E-08
CLIP1-AS1	2.599264197	0.003134872
SLC4A1	2.591647453	1.45E-13
HECTD4	2.587511574	1.04E-08
CALCOCO1	2.582755731	1.03E-07
HEPACAM2	2.581054364	0.000184844
GGT8P	2.580737353	0.002225738
MOB3C	2.580269585	2.43E-08
OR6K3	2.578486268	0.003210877
UBALD1	2.578207734	3.28E-05
MIR616	2.574882524	0.000797253
LSMEM1	2.574167855	0.000112096
KCNN4	2.570780592	1.97E-20
TMEM236	2.570494746	0.000295393
FAM46C	2.569154351	0.000006067
KLC3	2.565706833	2.01E-05
SLC43A2	2.562328164	3.93E-05
SLC26A3	2.560026608	0.002523294
SLC2A1	2.558996349	1.15E-08
SEC14L1	2.555370002	3.18E-12
OPTN	2.550004725	1.48E-10
SLC7A5P2	2.54791374	2.95E-12
SLC8A2	2.546270072	0.000702629
BPGM	2.546073035	1.69E-07
COL2A1	2.541451693	0.002243244
BTG2	2.541124929	1.90E-15
RB1CC1	2.540981103	2.23E-09
IGF2	2.538084674	3.92E-11
MAP1LC3B2	2.537313066	2.43E-06
PPP1R15A	2.526448822	5.48E-08
LOC105369595	2.52626824	0.002089947
ANKRD9	2.520469856	2.49E-16
PRRT3	2.520208295	2.55E-05
RIT1	2.519996413	5.21E-11
PRRT3-AS1	2.518922291	0.003897906
RARRES3	2.518601391	0.001260621
UCP3	2.518045106	0.000670505
HPSE2	2.517771314	0.000010801
PLA2G4C	2.515870496	0.000005132
PTPRH	2.510050668	9.27E-06
C19orf35	2.509298692	5.14E-05
JMY	2.507357559	2.57E-08
UBE2B	2.506889943	0.000000038
MIR27A	2.502329257	0.005395862
KLHDC8A	2.500750507	5.26E-08
SLC22A16	2.499810312	9.96E-11
JUND	2.499109193	8.25E-13
HBM	2.497671292	3.22E-13
IRF1	2.497625673	2.78E-09
ZC3HAV1	2.496888306	3.16E-20
CYP4F2	2.492601498	0.003543502
LINC01136	2.490281329	0.00216865
STOM	2.489969954	4.99E-07
TRIB3	2.489660706	0.000125026
WDR26	2.488697668	0.000001586
ARHGAP27	2.48827802	0.002195746
ARRB2	2.488053101	6.32E-09
SESN3	2.482785673	7.18E-10
C7orf61	2.48272315	2.87E-05
MOB1B	2.477727352	1.53E-08
3-Mar	2.474617855	1.38E-08
APOL3	2.469236363	1.90E-13
TMEM184A	2.468610229	6.55E-09
TKTL1	2.468289534	0.005443489
CA1	2.466812219	1.15E-10
TRIM10	2.462382055	1.08E-07
TUBB2A	2.461588688	1.39E-06
MAPK13	2.461418121	3.47E-10
XG	2.457081716	0.005348103
SPACA6	2.456703363	9.45E-05
C5AR2	2.451622719	0.000175986
ZNFX1	2.451458982	3.48E-12
MALAT1	2.446629041	3.65E-18
TBC1D22B	2.444638215	4.49E-08
UBAP1	2.44350347	3.47E-05
TP53INP2	2.438523948	0.000009031
RPL3L	2.433177478	0.000568724
PLCG1-AS1	2.432361416	0.000751775
APOBEC2	2.431583528	6.58E-08
LOC729870	2.4287929	0.000096579
KLHL24	2.426425091	1.15E-19
PER1	2.425369035	7.62E-09
WBP2	2.424595066	1.42E-10
CCDC88B	2.424368508	4.81E-07
ABHD4	2.422891168	2.20E-07
ERVFRD-1	2.422369715	0.002331396
LOC729603	2.422233058	3.23E-06
SCRT2	2.420587032	0.007456083
ABCG2	2.411918252	0.000000002
PLEKHG4B	2.410793213	0.007554037
SLC13A4	2.409139799	5.68E-07
C10orf54	2.402410733	9.64E-15
LOC101928118	2.396330855	0.000209129
NCOA4	2.395109733	2.42E-07
FAM229A	2.39507798	7.10E-09
NDEL1	2.393365846	2.40E-18
LINC00299	2.39324976	0.008220534
TREML4	2.393050909	0.007649367
CACNA2D2	2.390715553	6.18E-07
FAM131A	2.389763283	1.67E-19
PNP	2.389219339	1.05E-08
IBA57	2.384384664	1.22E-05
SLC7A11-AS1	2.380061276	0.000719276
MAP1LC3B	2.378048288	1.66E-08
CLIC2	2.377811388	3.82E-12
CDKN1A	2.376791773	1.93E-17
HSPA1B	2.376547185	4.73E-06
FOSL1	2.369471242	0.000166012
RHPN2	2.368028156	0.001782058
TMPRSS4	2.367795647	1.32E-08
MIR451A	2.367075034	0.001800363
MYO18B	2.366155778	1.50E-05
TERF2IP	2.365754291	2.12E-12
CCRL2	2.365090538	3.88E-06
BEST1	2.362966935	9.65E-05
POU2F2	2.362000698	8.61E-06
OSER1-AS1	2.360399242	1.01E-07
ABTB1	2.35908891	0.000000046
IFIT2	2.354750491	0.000508049
TSSK3	2.354165285	9.94E-12
HLA-A	2.352647295	1.17E-09
HEXIM1	2.350923125	1.04E-07
GBP2	2.35024944	1.70E-05
IRS2	2.34666985	5.31E-06
CCNDBP1	2.344295697	1.17E-12
HIST1H2AK	2.343158068	0.000194693
ISCU	2.339085319	4.49E-07
WNK1	2.33544259	3.91E-09
